!�ڵ�����
N,     1,           0.000,           0.000,           0.500
N,     2,          -0.808,           0.000,           0.480
N,     3,          -0.404,           0.700,           0.480
N,     4,           0.404,           0.700,           0.480
N,     5,           0.808,           0.000,           0.480
N,     6,           0.404,          -0.700,           0.480
N,     7,          -0.404,          -0.700,           0.480
N,     8,          -1.614,           0.000,           0.420
N,     9,          -1.398,           0.807,           0.420
N,    10,          -0.807,           1.398,           0.420
N,    11,          -0.000,           1.614,           0.420
N,    12,           0.807,           1.398,           0.420
N,    13,           1.398,           0.807,           0.420
N,    14,           1.614,           0.000,           0.420
N,    15,           1.398,          -0.807,           0.420
N,    16,           0.807,          -1.398,           0.420
N,    17,           0.000,          -1.614,           0.420
N,    18,          -0.807,          -1.398,           0.420
N,    19,          -1.398,          -0.807,           0.420
N,    20,          -2.416,           0.000,           0.319
N,    21,          -2.270,           0.826,           0.319
N,    22,          -1.851,           1.553,           0.319
N,    23,          -1.208,           2.092,           0.319
N,    24,          -0.420,           2.379,           0.319
N,    25,           0.420,           2.379,           0.319
N,    26,           1.208,           2.092,           0.319
N,    27,           1.851,           1.553,           0.319
N,    28,           2.270,           0.826,           0.319
N,    29,           2.416,           0.000,           0.319
N,    30,           2.270,          -0.826,           0.319
N,    31,           1.851,          -1.553,           0.319
N,    32,           1.208,          -2.092,           0.319
N,    33,           0.420,          -2.379,           0.319
N,    34,          -0.420,          -2.379,           0.319
N,    35,          -1.208,          -2.092,           0.319
N,    36,          -1.851,          -1.553,           0.319
N,    37,          -2.270,          -0.826,           0.319
N,    38,          -3.212,           0.000,           0.179
N,    39,          -3.102,           0.831,           0.179
N,    40,          -2.782,           1.606,           0.179
N,    41,          -2.271,           2.271,           0.179
N,    42,          -1.606,           2.782,           0.179
N,    43,          -0.831,           3.102,           0.179
N,    44,          -0.000,           3.212,           0.179
N,    45,           0.831,           3.102,           0.179
N,    46,           1.606,           2.782,           0.179
N,    47,           2.271,           2.271,           0.179
N,    48,           2.782,           1.606,           0.179
N,    49,           3.102,           0.831,           0.179
N,    50,           3.212,          -0.000,           0.179
N,    51,           3.102,          -0.831,           0.179
N,    52,           2.782,          -1.606,           0.179
N,    53,           2.271,          -2.271,           0.179
N,    54,           1.606,          -2.782,           0.179
N,    55,           0.831,          -3.102,           0.179
N,    56,           0.000,          -3.212,           0.179
N,    57,          -0.831,          -3.102,           0.179
N,    58,          -1.606,          -2.782,           0.179
N,    59,          -2.271,          -2.271,           0.179
N,    60,          -2.782,          -1.606,           0.179
N,    61,          -3.102,          -0.831,           0.179
N,    62,          -4.000,           0.000,           0.000
N,    63,          -3.913,           0.832,           0.000
N,    64,          -3.654,           1.627,           0.000
N,    65,          -3.236,           2.351,           0.000
N,    66,          -2.677,           2.973,           0.000
N,    67,          -2.000,           3.464,           0.000
N,    68,          -1.236,           3.804,           0.000
N,    69,          -0.418,           3.978,           0.000
N,    70,           0.418,           3.978,           0.000
N,    71,           1.236,           3.804,           0.000
N,    72,           2.000,           3.464,           0.000
N,    73,           2.677,           2.973,           0.000
N,    74,           3.236,           2.351,           0.000
N,    75,           3.654,           1.627,           0.000
N,    76,           3.913,           0.832,           0.000
N,    77,           4.000,           0.000,           0.000
N,    78,           3.913,          -0.832,           0.000
N,    79,           3.654,          -1.627,           0.000
N,    80,           3.236,          -2.351,           0.000
N,    81,           2.677,          -2.973,           0.000
N,    82,           2.000,          -3.464,           0.000
N,    83,           1.236,          -3.804,           0.000
N,    84,           0.418,          -3.978,           0.000
N,    85,          -0.418,          -3.978,           0.000
N,    86,          -1.236,          -3.804,           0.000
N,    87,          -2.000,          -3.464,           0.000
N,    88,          -2.677,          -2.973,           0.000
N,    89,          -3.236,          -2.351,           0.000
N,    90,          -3.654,          -1.627,           0.000
N,    91,          -3.913,          -0.832,           0.000
N,    92,          -3.301,          -0.106,           0.157
N,    93,          -3.239,          -0.831,           0.149
N,    94,          -3.181,          -0.944,           0.154
N,    95,          -2.919,          -1.609,           0.151
N,    96,          -2.853,          -1.723,           0.151
N,    97,          -2.408,          -2.283,           0.154
N,    98,          -2.340,          -2.390,           0.149
N,    99,          -1.742,          -2.806,           0.157
N,   100,          -1.674,          -2.900,           0.148
N,   101,          -1.559,          -2.912,           0.157
N,   102,          -0.900,          -3.221,           0.149
N,   103,          -0.773,          -3.227,           0.154
N,   104,          -0.066,          -3.332,           0.151
N,   105,           0.066,          -3.332,           0.151
N,   106,           0.773,          -3.227,           0.154
N,   107,           0.900,          -3.221,           0.149
N,   108,           1.559,          -2.912,           0.157
N,   109,           1.674,          -2.900,           0.148
N,   110,           1.742,          -2.806,           0.157
N,   111,           2.340,          -2.390,           0.149
N,   112,           2.408,          -2.283,           0.154
N,   113,           2.853,          -1.723,           0.151
N,   114,           2.919,          -1.609,           0.151
N,   115,           3.181,          -0.944,           0.154
N,   116,           3.239,          -0.831,           0.149
N,   117,           3.301,          -0.106,           0.157
N,   118,           3.348,          -0.000,           0.148
N,   119,           3.301,           0.106,           0.157
N,   120,           3.239,           0.831,           0.149
N,   121,           3.181,           0.944,           0.154
N,   122,           2.919,           1.609,           0.151
N,   123,           2.853,           1.723,           0.151
N,   124,           2.408,           2.283,           0.154
N,   125,           2.340,           2.390,           0.149
N,   126,           1.742,           2.806,           0.157
N,   127,           1.674,           2.900,           0.148
N,   128,           1.559,           2.912,           0.157
